Rank,City,Region,# of STEM jobs (2019),% STEM jobs (2019),# of STEM jobs change (2015-2019),% STEM jobs change (2015-2019),# Women in STEM (2019),% Women in STEM (2019),# Women in STEM change (2015-2019),% Women in STEM change (2015-2019),"Median STEM income (all, 2019)","Median STEM income change (all, 2015-2019)","Median STEM income (women, 2019)","Median STEM income change (women, 2015-2019)"
83,"Paradise CDP, NV",West,"2,993",2.20%,-540,-0.90%,"1,106",37.00%,-188,0.30%,"$56,677 ",10.40%,"$56,982 ",56.20%
84,"Henderson, NV",West,"5,091",3.40%,-89,-0.50%,"1,013",19.90%,-181,-3.20%,"$81,476 ",23.80%,"$77,989 ",-8.50%
85,"Chesapeake, VA",South,"7,409",6.70%,-186,-0.30%,"1,707",23.00%,-675,-8.30%,"$79,461 ",9.90%,"$78,108 ",-2.50%
86,"Grand Rapids, MI",Midwest,"6,044",5.80%,"2,111",1.80%,"1,713",28.30%,"1,049",11.50%,"$60,661 ",9.90%,"$47,450 ",-27.70%
87,"Modesto, CA",West,"3,111",3.40%,-665,-1.00%,423,13.60%,-917,-21.90%,"$74,485 ",44.50%,"$77,146 ",60.60%
88,"Memphis, TN",South,"10,904",3.70%,"-1,443",-0.60%,"3,707",34.00%,-182,2.50%,"$66,956 ",9.40%,"$51,181 ",20.50%
89,"Lexington, KY",South,"10,583",6.40%,-214,-0.30%,"3,695",34.90%,"1,472",14.30%,"$55,272 ",-9.60%,"$47,991 ",3.50%
90,"Spokane, WA",West,"5,188",4.90%,"1,256",0.70%,"1,446",27.90%,543,4.90%,"$66,241 ",12.70%,"$53,833 ",-15.80%
91,"Riverside, CA",West,"6,489",4.10%,"1,480",0.70%,"1,380",21.30%,378,1.30%,"$68,565 ",13.30%,"$54,278 ",7.70%
92,"Miami, FL",South,"9,359",3.80%,"2,434",0.50%,"2,432",26.00%,906,3.90%,"$64,962 ",25.00%,"$39,406 ",-9.30%
93,"St. Paul, MN",Midwest,"13,826",8.50%,"2,786",1.40%,"3,725",26.90%,-129,-8.00%,"$65,866 ",1.10%,"$53,081 ",-17.30%
94,"Buffalo, NY",Northeast,"5,391",4.70%,"1,633",1.30%,"1,037",19.20%,-111,-11.30%,"$61,076 ",8.60%,"$58,575 ",38.50%
95,"St. Petersburg, FL",South,"7,680",5.50%,720,-0.10%,"2,336",30.40%,-82,-4.30%,"$60,485 ",-13.60%,"$56,286 ",40.30%
96,"Tulsa, OK",South,"9,450",4.90%,719,0.40%,"2,670",28.30%,392,2.20%,"$68,020 ",11.30%,"$46,250 ",-8.40%
97,"Moreno Valley, CA",West,"1,826",1.90%,-122,-0.30%,407,22.30%,-230,-10.40%,"$68,407 ",13.90%,"$65,815 ",31.20%
98,"Las Vegas, NV",West,"10,705",3.60%,"4,594",1.40%,"1,315",12.30%,-99,-10.90%,"$64,304 ",-9.20%,"$71,046 ",23.40%
99,"Toledo, OH",Midwest,"3,757",3.10%,-787,-0.50%,974,25.90%,-285,-1.80%,"$58,038 ",30.20%,"$38,745 ",51.60%
100,"Greensboro, NC",South,"6,718",4.60%,679,0.20%,"1,865",27.80%,256,1.10%,"$61,479 ",2.10%,"$52,048 ",2.00%
101,"Lubbock, TX",South,"5,273",4.10%,"1,519",0.90%,"1,729",32.80%,743,6.50%,"$50,345 ",25.00%,"$31,742 ",-12.50%
102,"Port St. Lucie, FL",South,"4,389",4.60%,"2,503",2.00%,774,17.60%,525,4.40%,"$52,773 ",-1.80%,"$73,628 ",n/a
103,"Yonkers, NY",Northeast,"1,986",2.10%,"-1,493",-1.60%,269,13.50%,-896,-19.90%,"$86,263 ",22.50%,"$85,828 ",20.30%
104,"Tacoma, WA",West,"5,820",5.10%,"1,697",0.90%,"1,724",29.60%,466,-0.90%,"$65,548 ",-2.00%,"$52,260 ",-26.40%
105,"Fayetteville, NC",South,"2,002",2.50%,-121,-0.30%,337,16.80%,-175,-7.30%,"$55,969 ",23.50%,"$54,101 ",61.10%
106,"Spring Valley CDP, NV",West,"3,629",3.10%,"1,331",0.80%,887,24.40%,261,-2.80%,"$63,976 ",20.10%,"$51,372 ",-15.70%
107,"Fontana, CA",West,"2,554",2.60%,862,0.70%,538,21.10%,177,-0.30%,"$70,714 ",-5.20%,"$61,520 ",-15.20%
108,"Glendale, AZ",West,"5,613",4.80%,863,0.30%,"1,480",26.40%,385,3.30%,"$70,575 ",7.70%,"$38,947 ",-32.00%
109,"Fort Wayne, IN",Midwest,"6,861",5.30%,84,-0.30%,"1,473",21.50%,398,5.60%,"$63,723 ",7.50%,"$45,716 ",-23.80%
110,"Detroit, MI",Midwest,"8,201",3.10%,"2,118",0.40%,"2,514",30.70%,-227,-14.40%,"$52,096 ",12.00%,"$40,938 ",12.20%
111,"Chula Vista, CA",West,"8,600",6.80%,"1,939",1.20%,"1,619",18.80%,527,2.40%,"$71,869 ",-0.60%,"$37,273 ",-39.40%
112,"Laredo, TX",South,"2,632",2.30%,"1,354",1.10%,603,22.90%,477,13.10%,"$51,319 ",-5.10%,"$50,830 ",n/a
113,"Fresno, CA",West,"7,731",3.40%,382,0.00%,"1,817",23.50%,-367,-6.20%,"$66,573 ",10.20%,"$50,951 ",-27.90%
114,"Hialeah, FL",South,"2,598",2.30%,657,0.40%,479,18.40%,-154,-14.20%,"$51,817 ",17.50%,"$46,788 ",25.90%
115,"Rochester, NY",Northeast,"5,675",5.90%,"2,542",2.30%,"1,200",21.10%,533,-0.10%,"$51,195 ",0.10%,"$32,000 ",-29.90%
116,"Newark, NJ",Northeast,"2,702",2.20%,489,0.20%,453,16.80%,-392,-21.40%,"$66,209 ",6.80%,"$54,375 ",-11.70%
117,"El Paso, TX",South,"8,764",2.90%,"-1,400",-0.60%,"2,419",27.60%,-778,-3.90%,"$49,711 ",-2.60%,"$40,705 ",-19.20%
118,"Birmingham, AL",South,"3,267",3.40%,466,0.50%,862,26.40%,-161,-10.10%,"$55,384 ",-6.20%,"$31,689 ",-39.50%
119,"North Las Vegas, NV",West,"2,711",2.30%,-305,-0.70%,275,10.10%,-241,-7.00%,"$36,674 ",-34.00%,"$36,282 ",54.90%
120,"San Bernardino, CA",West,783,0.80%,-465,-0.70%,69,8.80%,-180,-11.10%,"$62,415 ",21.20%,n/a,n/a
